tripduration,starttime,stoptime,startStationId,startStationName,startStationLatitude,startStationLongitude,endStationId,endStationName,endStationLatitude,endStationLongitude,bikeid,name_localizedValue0,usertype,birth year,gender
239,2018-05-01 07:17:30,2018-05-01 07:21:29,3207,Oakland Ave,40.7376037,-74.0524783,3640,Journal Square,40.73367,-74.0625,26311,Annual Membership,Subscriber,1986,1
394,2018-05-01 07:17:37,2018-05-01 07:24:12,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3199,Newport Pkwy,40.7287448,-74.0321082,26183,Annual Membership,Subscriber,1985,1
381,2018-05-01 07:17:53,2018-05-01 07:24:15,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,3195,Sip Ave,40.73074262530658,-74.06378388404846,29255,Annual Membership,Subscriber,1980,1
298,2018-05-01 07:18:49,2018-05-01 07:23:47,3207,Oakland Ave,40.7376037,-74.0524783,3640,Journal Square,40.73367,-74.0625,33612,Annual Membership,Subscriber,1983,1
210,2018-05-01 07:19:29,2018-05-01 07:23:00,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3183,Exchange Place,40.7162469,-74.0334588,33589,Join Citi Bike for $14.95/month,Subscriber,1970,1
710,2018-05-01 07:21:52,2018-05-01 07:33:43,3192,Liberty Light Rail,40.7112423,-74.0557013,3183,Exchange Place,40.7162469,-74.0334588,29271,Annual Membership from Citi Bike App,Subscriber,1993,2
343,2018-05-01 07:22:01,2018-05-01 07:27:45,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,3640,Journal Square,40.73367,-74.0625,33555,Annual Membership,Subscriber,1990,1
280,2018-05-01 07:22:42,2018-05-01 07:27:22,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26316,Annual Membership,Subscriber,1977,1
788,2018-05-01 07:22:59,2018-05-01 07:36:07,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33628,Annual Membership,Subscriber,1984,2
125,2018-05-01 07:23:51,2018-05-01 07:25:57,3681,Grand St,40.71517767732029,-74.03768330812454,3275,Columbus Drive,40.71835519823214,-74.03891444206238,29245,Annual Membership,Subscriber,1985,2
260,2018-05-01 07:25:25,2018-05-01 07:29:46,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,32435,Annual Membership,Subscriber,1979,1
304,2018-05-01 07:25:54,2018-05-01 07:30:59,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,33668,Annual Membership from Citi Bike App,Subscriber,1986,1
141,2018-05-01 07:26:01,2018-05-01 07:28:22,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29232,Annual Membership,Subscriber,1970,1
132,2018-05-01 07:26:40,2018-05-01 07:28:52,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,29231,Annual Membership,Subscriber,1960,1
142,2018-05-01 07:26:57,2018-05-01 07:29:20,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29513,Annual Membership,Subscriber,1975,1
136,2018-05-01 07:27:42,2018-05-01 07:29:58,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3183,Exchange Place,40.7162469,-74.0334588,29471,Join Citi Bike for $14.95/month,Subscriber,1993,1
307,2018-05-01 07:29:00,2018-05-01 07:34:07,3211,Newark Ave,40.72152515,-74.046304543,3639,Harborside,40.7192517,-74.034234,26292,Annual Membership from Citi Bike App,Subscriber,1990,1
876,2018-05-01 07:29:00,2018-05-01 07:43:37,3198,Heights Elevator,40.748715945380226,-74.04044330120087,3211,Newark Ave,40.72152515,-74.046304543,29623,Annual Membership,Subscriber,1988,1
349,2018-05-01 07:29:07,2018-05-01 07:34:57,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33655,Annual Membership from Citi Bike App,Subscriber,1980,1
278,2018-05-01 07:29:29,2018-05-01 07:34:08,3211,Newark Ave,40.72152515,-74.046304543,3638,Washington St,40.7242941,-74.0354826,29536,Annual Membership,Subscriber,1990,1
131,2018-05-01 07:29:58,2018-05-01 07:32:09,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29617,Annual Membership,Subscriber,1966,1
289,2018-05-01 07:30:31,2018-05-01 07:35:20,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29507,Annual Membership,Subscriber,1967,2
270,2018-05-01 07:30:32,2018-05-01 07:35:02,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3275,Columbus Drive,40.71835519823214,-74.03891444206238,33660,Annual Membership,Subscriber,1963,1
148,2018-05-01 07:31:01,2018-05-01 07:33:30,3267,Morris Canal,40.7124188237569,-74.03852552175522,3184,Paulus Hook,40.7141454,-74.0335519,29542,Annual Membership,Subscriber,NULL,0
309,2018-05-01 07:31:12,2018-05-01 07:36:21,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.0337589,29439,Annual Membership,Subscriber,1981,2
351,2018-05-01 07:31:54,2018-05-01 07:37:46,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.0337589,26164,Annual Membership,Subscriber,1979,1
450,2018-05-01 07:32:00,2018-05-01 07:39:30,3192,Liberty Light Rail,40.7112423,-74.0557013,3214,Essex Light Rail,40.7127742,-74.0364857,29546,Annual Membership,Subscriber,1967,1
483,2018-05-01 07:32:39,2018-05-01 07:40:43,3203,Hamilton Park,40.727595966,-74.044247311,3184,Paulus Hook,40.7141454,-74.0335519,33580,Annual Membership,Subscriber,1971,1
384,2018-05-01 07:33:31,2018-05-01 07:39:55,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29505,Annual Membership from Citi Bike App,Subscriber,1983,1
322,2018-05-01 07:33:36,2018-05-01 07:38:58,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26298,Annual Membership,Subscriber,1982,2
224,2018-05-01 07:35:00,2018-05-01 07:38:45,3210,Pershing Field,40.742677141,-74.051788633,3212,Christ Hospital,40.734785818,-74.050443636,29266,Annual Membership,Subscriber,1984,1
201,2018-05-01 07:35:18,2018-05-01 07:38:39,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29678,$25 Off Annual Membership,Subscriber,1986,1
221,2018-05-01 07:35:23,2018-05-01 07:39:05,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29679,Annual Membership,Subscriber,1978,1
431,2018-05-01 07:36:31,2018-05-01 07:43:43,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33631,Annual Membership,Subscriber,1954,1
400,2018-05-01 07:37:01,2018-05-01 07:43:41,3195,Sip Ave,40.73074262530658,-74.06378388404846,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29255,Annual Membership from Citi Bike App,Subscriber,1988,1
846,2018-05-01 07:37:14,2018-05-01 07:51:21,3203,Hamilton Park,40.727595966,-74.044247311,3183,Exchange Place,40.7162469,-74.0334588,29661,Annual Membership from Citi Bike App,Subscriber,1988,2
524,2018-05-01 07:39:14,2018-05-01 07:47:58,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73074262530658,-74.06378388404846,26155,Annual Membership,Subscriber,1960,1
229,2018-05-01 07:39:15,2018-05-01 07:43:04,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26195,Annual Membership,Subscriber,1990,1
